Property_Name;Location;Owner_Name;Information_Responsible;Predominant_Soil_Type;Lactating_Cows;Dry_Cows;Heifers;Calves;Bulls;Lactating_Cows_Weight;Dry_Cows_Weight;Heifers_Weight;Calves_Weight;Bulls_Weight;Females;Males;Cows_Discarded_Per_Year;Discarded_Cows_Destination;Productivity;Total_Milk_Production;Milk_Protein_Percentage;Milk_Fat_Percentage;Grass_Fresh;Grass_Hay_On_Farm;Grass_Hay_Off_Farm;Grass_Silage_On_Or_Off_Farm;Maize_Silage;Lucerne_Alfalfa_Silage;Other_Fodder;Straw_Peanut_Hull_Others;Crop_Residues;Hay_Oat_Clover;Sorghum_Silage;Wheat;Barley;Maize_Grain;Oats;Rice;Rye;Sorghum;Other_Cereals;DDG;Soybean_Meal_Hull;Sugarbeet_Molasses;Whey_Powder;Rapeseed_Cake_Meal;Sunflower_Cake_Meal;Cottonseed_Cake_Meal;Beans_Peas;Cassava_Tapioca;Other_Feed;Milk_Powder_Dry_Matter;Citrus_Pulp;Mineral_Mix;Lucerne_Alfalfa_Hay;Brewers_Grain_Brewery_Residue;Total;DMI_Check;Diesel;Gasoline;Other_Fuel;Electricity_Grid;Photovoltaic_Energy;Pasture_Area;Non_Organic_Fertilizer;Organic_Fertilizer;co2_enteric_fermentation;co2_manure_management;co2_fertilizer_emissions;co2_energy_emissions;co2_total_emissions
BR – 33;Rio Grande do Sul;Anonymous;Anonymous;Argissolo;31.0;2.0;6.0;15.0;0.0;500.0;530.0;320.0;150.0;0.0;0.0;0.0;6.0;venda;19.5612611577552;221335.67;3.29;3.76;149525.9;6380.2;0.0;22630.0;89936.0;0.0;0.0;0.0;0.0;620.5;0.0;0.0;0.0;33054.4;0.0;0.0;0.0;0.0;0.0;0.0;42037.05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;344184.05;345089.25;2880.0;0.0;0.0;0.0;14860.0;10.0;777.8;0.0;92000.0;6156.55;2433.7362;7718.400000000001;108308.6862
BR – 34;Rio Grande do Sul;Anonymous;Anonymous;Argissolo;12.0;4.0;4.0;6.0;0.0;500.0;530.0;320.0;150.0;0.0;0.0;0.0;0.0;venda;12.4049155251142;54333.53;3.28;3.9;0.0;0.0;0.0;0.0;33215.0;0.0;0.0;0.0;0.0;0.0;941.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22995.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;941.7;0.0;58093.4;83431.7;1200.0;0.0;0.0;0.0;3110.0;3.0;544.8;0.0;41000.0;2902.3;1704.6791999999998;3216.0;48822.9792
BR – 35;Rio Grande do Sul;Anonymous;Anonymous;Argissolo;70.0;13.0;20.0;55.0;0.0;550.0;580.0;350.0;200.0;0.0;0.0;0.0;15.0;venda;25.9870007827789;663967.87;3.41;3.85;484917.1;0.0;0.0;0.0;281670.5;0.0;0.0;0.0;0.0;41518.75;0.0;0.0;0.0;44968.0;12446.5;0.0;0.0;0.0;0.0;0.0;211225.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1076746.35;1076746.35;2400.0;0.0;0.0;0.0;0.0;90.0;900.0;0.0;233750.0;17572.300000000003;2816.1;6432.0;260570.4
BR – 36;Rio Grande do Sul;Anonymous;Anonymous;Argissolo;16.0;1.0;9.0;1.0;0.0;550.0;580.0;350.0;200.0;0.0;0.0;0.0;0.0;venda;26.0582945205479;152180.44;3.19;3.54;84672.7;0.0;0.0;0.0;79825.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18688.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;183186.2;183186.2;1200.0;0.0;0.0;10789.76;0.0;15.5;0.0;0.0;48500.0;3726.1000000000004;0.0;5730.014080000001;57956.11408
BR – 37;Rio Grande do Sul;Anonymous;Anonymous;Argissolo;32.0;2.0;12.0;13.0;0.0;500.0;530.0;320.0;150.0;0.0;0.0;0.0;2.0;venda;12.4881327054795;145861.39;3.73;4.55;123866.4;18980.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;45515.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;188361.9;188361.9;150.0;0.0;0.0;8400.0;0.0;20.0;2740.0;0.0;98000.0;6634.650000000001;8573.460000000001;2359.2;115567.31
BR – 38;Rio Grande do Sul;Anonymous;Anonymous;Argissolo;25.0;17.0;6.0;40.0;0.0;500.0;530.0;320.0;150.0;0.0;0.0;0.0;40.0;venda;17.0465282191781;155549.57;3.06;3.24;193398.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4106.25;0.0;0.0;0.0;0.0;0.0;0.0;52377.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;249882.65;257182.65;5000.0;0.0;0.0;9688.0;0.0;50.0;500.0;0.0;108250.0;7553.05;1564.5;15657.304;133024.854
BR – 39;São Paulo;Anonymous;Anonymous;Nitossolo;9.0;4.0;4.0;5.0;0.0;500.0;530.0;320.0;150.0;0.0;0.0;0.0;9.0;venda;12.876097412481;42297.98;3.25;3.77;66247.5;0.0;0.0;0.0;8668.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;74916.25;84771.25;100.0;0.0;0.0;1612.8;0.0;3.0;0.0;0.0;33000.0;2373.5499999999997;0.0;643.7824;36017.3324
BR – 40;Rio Grande do Sul;Anonymous;Anonymous;Argissolo;18.0;5.0;11.0;5.0;0.0;500.0;530.0;320.0;150.0;0.0;0.0;0.0;3.0;venda;12.5710167427702;82591.58;3.23;3.88;103630.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6570.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;26791.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;803.0;6570.0;0.0;144364.8;137794.8;0.0;0.0;0.0;4953.0;0.0;5.0;270.0;0.0;62000.0;4436.6;844.83;1154.049;68435.479
BR – 41;Rio Grande do Sul;Anonymous;Anonymous;Argissolo;11.0;5.0;3.0;5.0;0.0;500.0;530.0;320.0;150.0;0.0;0.0;0.0;0.0;venda;18.6890485678705;75036.53;3.41;4.01;46263.75;0.0;0.0;0.0;46117.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14454.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;106835.5;106835.5;100.0;0.0;0.0;0.0;4672.0;3.0;262.8;0.0;38500.0;2785.8;822.3012000000001;268.0;42376.101200000005
BR – 42;Rio Grande do Sul;Anonymous;Anonymous;Argissolo;24.0;6.0;12.0;9.0;0.0;500.0;530.0;320.0;150.0;0.0;0.0;0.0;15.0;venda;17.093649543379;149740.37;3.59;4.5;82869.6;32236.8;0.0;19929.0;92834.1;0.0;0.0;0.0;0.0;7446.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;70101.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;305417.4;297971.4;3000.0;0.0;0.0;9953.0;0.0;10.0;3050.0;0.0;81000.0;5719.050000000001;9543.449999999999;10359.049;106621.549
